City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
369,lincoln,40.8,-96.667,0.72,96,100,2.24,US,1674097958
370,caravelas,-17.7125,-39.2481,23.27,91,0,1.02,BR,1674097919
371,tinskoy,56.1525,96.9161,-25.74,95,100,1.18,RU,1674098160
372,zhigansk,66.7697,123.3711,-43.01,95,90,5.86,RU,1674098161
373,hobyo,5.3505,48.5268,24.39,77,88,8.17,SO,1674098161
374,zelenogorskiy,55.0333,87.0,-13.88,95,100,4.0,RU,1674098162
375,yarmouth,41.7057,-70.2286,6.67,78,0,7.15,US,1674098162
376,zeya,53.75,127.2667,-29.67,80,100,2.48,RU,1674098163
377,abalak,58.1286,68.5944,-15.02,97,77,2.1,RU,1674098164
378,kalabo,-14.97,22.6814,18.6,96,100,2.1,ZM,1674098165
379,pryluky,50.5932,32.3876,4.84,98,86,3.69,UA,1674098166
380,crateus,-5.1783,-40.6775,23.24,78,96,0.98,BR,1674098166
381,aksu,41.1231,80.2644,-17.36,86,4,1.54,CN,1674098168
382,macia,-25.0269,33.0989,22.48,89,96,1.53,MZ,1674098170
383,bara,10.3744,10.7288,17.88,35,18,2.99,NG,1674098170
384,talavera,15.6167,120.9333,29.63,53,21,3.75,PH,1674098171
385,nyrob,60.733,56.7202,-10.36,96,98,3.2,RU,1674098172
386,muana,-1.5283,-49.2167,22.03,96,100,1.08,BR,1674098172
387,jiaohe,43.7286,127.3447,-6.85,86,100,2.84,CN,1674098173
388,kavaratti,10.5669,72.642,27.03,70,80,4.68,IN,1674098075
389,bandarbeyla,9.4942,50.8122,23.42,74,38,7.98,SO,1674098173
390,ostrovnoy,68.0531,39.5131,-1.24,89,100,7.81,RU,1674098174
391,muriae,-21.1306,-42.3664,21.47,98,53,0.56,BR,1674098175
392,lasa,46.6166,10.7002,-0.51,92,100,3.18,IT,1674098175
393,mitsamiouli,-11.3847,43.2844,27.22,74,100,3.89,KM,1674098176
394,yaan,7.3833,8.5667,24.23,22,80,1.78,NG,1674098177
395,antalaha,-14.9003,50.2788,24.53,94,100,10.89,MG,1674098054
396,thinadhoo,0.5333,72.9333,27.79,74,72,4.75,MV,1674098178
397,khanpur,28.6453,70.6567,11.32,33,84,4.12,PK,1674098178
398,sitka,57.0531,-135.33,4.94,81,100,6.17,US,1674098052
399,bradford,53.7939,-1.7521,0.29,87,36,2.68,GB,1674098116
400,nagai,38.1036,140.035,1.34,61,10,0.07,JP,1674098180
401,xuanzhou,30.9525,118.7553,8.1,32,3,1.44,CN,1674098180
402,sao jose da coroa grande,-8.8978,-35.1478,24.84,86,28,3.3,BR,1674098181
403,komsomolskiy,40.4272,71.7189,-9.6,79,65,3.09,UZ,1674098182
404,melito di porto salvo,37.9222,15.7714,14.19,80,11,5.04,IT,1674098183
405,lorengau,-2.0226,147.2712,28.5,73,70,4.22,PG,1674098117
406,mayor pablo lagerenza,-19.9309,-60.7718,24.24,75,13,1.75,PY,1674098146
407,kaeo,-35.1,173.7833,22.84,69,78,1.93,NZ,1674098185
408,trincomalee,8.5711,81.2335,25.9,62,13,5.41,LK,1674098185
409,half moon bay,37.4636,-122.4286,12.57,82,100,4.63,US,1674097916
410,zhangye,38.9342,100.4517,-9.53,53,16,1.46,CN,1674098187
411,kwinana,-32.25,115.7667,31.2,31,79,1.34,AU,1674098187
412,dhidhdhoo,6.8833,73.1,27.25,72,18,8.62,MV,1674098042
413,sao joao da barra,-21.6403,-41.0511,23.61,89,0,3.91,BR,1674098189
414,kharp,66.8014,65.8081,-13.46,89,11,4.2,RU,1674098059
415,almeirim,-1.5233,-52.5817,21.71,99,100,0.46,BR,1674098190
416,buchanan,5.8808,-10.0467,25.35,88,46,0.99,LR,1674098190
417,altamira,-3.2033,-52.2064,21.02,99,100,0.8,BR,1674098191
418,taloqan,36.7361,69.5345,-2.94,86,100,0.81,AF,1674098191
419,maniitsoq,65.4167,-52.9,-9.73,55,100,3.23,GL,1674098192
420,axim,4.8699,-2.2405,25.67,87,98,2.43,GH,1674098192
421,constitucion,-35.3333,-72.4167,13.25,91,15,1.36,CL,1674098193
422,beyneu,45.3167,55.2,-4.72,72,0,4.42,KZ,1674098193
423,kununurra,-15.7667,128.7333,30.99,70,100,2.57,AU,1674098194
424,strezhevoy,60.7333,77.5889,-16.6,96,99,4.38,RU,1674098194
425,bud,39.447,-86.1758,6.61,97,100,7.94,US,1674098195
426,lodja,-3.4833,23.4333,20.88,91,100,1.02,CD,1674098195
427,oyek,52.5861,104.4556,-32.79,97,52,0.38,RU,1674098196
428,rusne,55.2964,21.3758,2.04,81,86,4.38,LT,1674098196
429,ayorou,14.7308,0.9174,19.42,17,5,3.97,NE,1674098197
430,vestmannaeyjar,63.4427,-20.2734,-3.58,69,26,6.2,IS,1674098197
431,lompoc,34.6391,-120.4579,9.32,88,20,0.45,US,1674098022
432,west wendover,40.7391,-114.0733,-6.39,90,92,1.52,US,1674098174
433,adrar,20.5022,-10.0711,15.64,37,99,4.04,MR,1674097954
434,buraydah,26.326,43.975,6.25,60,32,2.03,SA,1674098198
435,jalali,27.8667,78.2667,9.2,48,14,0.24,IN,1674098199
436,abu samrah,35.3029,37.1841,8.02,86,0,1.65,SY,1674098199
437,nouadhibou,20.931,-17.0347,16.99,77,29,9.26,MR,1674098200
438,kautokeino,69.0125,23.0412,-3.53,96,100,7.53,NO,1674098200
439,vanimo,-2.6741,141.3028,29.06,65,91,3.53,PG,1674098201
440,cherskiy,68.75,161.3,-43.02,99,91,1.52,RU,1674098026
441,dekar,-21.5333,21.9333,19.79,79,76,2.47,BW,1674098201
442,mocuba,-16.8392,36.9856,21.9,98,96,1.12,MZ,1674098202
443,najran,17.4924,44.1277,9.36,80,3,0.79,SA,1674098202
444,ngara,-2.5122,30.6558,11.65,95,36,0.89,TZ,1674098203
445,puerto baquerizo moreno,-0.9,-89.6,24.24,80,100,2.62,EC,1674098203
446,santa marta,11.2408,-74.199,27.72,71,52,5.81,CO,1674098204
447,megion,61.0296,76.1136,-11.99,99,74,4.49,RU,1674098126
448,peniche,39.3558,-9.3811,6.27,60,75,7.13,PT,1674098046
449,ambanja,-13.6833,48.45,22.76,96,100,5.76,MG,1674098205
450,fairbanks,64.8378,-147.7164,-26.02,78,20,0.0,US,1674098206
451,sobolevo,54.4299,31.8996,4.27,91,93,8.11,RU,1674098206
452,anadyr,64.75,177.4833,-27.72,76,75,5.0,RU,1674098207
453,verkhoyansk,67.5447,133.385,-41.82,98,100,0.67,RU,1674098207
454,waingapu,-9.6567,120.2641,29.7,66,96,3.71,ID,1674098208
455,ilabaya,-17.4208,-70.5133,18.64,73,61,0.42,PE,1674098208
456,saint-joseph,-21.3667,55.6167,28.04,86,92,5.63,RE,1674098209
457,maldonado,-34.6667,-54.9167,21.66,85,100,4.81,UY,1674098209
458,sarakhs,36.5449,61.1577,-4.8,76,11,1.62,IR,1674098209
459,sabinas,27.85,-101.1167,17.62,33,63,4.52,MX,1674098210
460,zonguldak,41.25,31.8333,6.13,70,10,2.82,TR,1674098210
461,fort nelson,58.8053,-122.7002,-15.03,91,75,2.06,CA,1674098211
462,don sak,9.3168,99.6918,30.94,67,49,4.44,TH,1674098211
463,algiers,36.7525,3.042,5.9,76,20,2.57,DZ,1674098100
464,kupang,-10.1667,123.5833,29.32,79,75,3.6,ID,1674098212
465,primero de enero,21.9469,-78.4283,19.68,81,2,3.17,CU,1674098213
466,namtsy,62.7161,129.6658,-45.46,95,98,1.2,RU,1674098213
467,kalaleh,37.3807,55.4916,0.78,75,40,0.0,IR,1674098213
468,ternate,0.8,127.4,28.8,70,79,3.14,ID,1674098214
469,fairview,40.8126,-73.999,8.01,65,0,4.12,US,1674098214
470,kologriv,58.8275,44.3178,-6.16,91,64,5.21,RU,1674098215
471,lagos,6.5833,3.75,26.18,88,7,0.76,NG,1674098208
472,svetlogorsk,52.6333,29.7333,3.42,88,73,4.22,BY,1674098215
473,merauke,-8.4667,140.3333,29.08,73,100,7.12,ID,1674098216
474,mitu,1.1983,-70.1733,21.51,93,79,0.55,CO,1674098216
